?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ZP_0141957>	"Abnormal(ly) mislocalised (of) vertebra of osteoblast."	
<http://purl.obolibrary.org/obo/ZP_0005937>	"Abnormal(ly) dilated (of) bile ductule."	
<http://purl.obolibrary.org/obo/GO_1902027>		
<http://purl.obolibrary.org/obo/ZP_0131115>	"Abnormal(ly) decreased occurrence (of) liver of phosphoenolpyruvate carboxykinase activity."	
<http://purl.obolibrary.org/obo/ZP_0015721>	"Abnormal(ly) degenerate (of) pectoral fin of epithelium."	
<http://purl.obolibrary.org/obo/ZP_0010202>	"Abnormal(ly) morphology (of) glossopharyngeal placode."	
<http://purl.obolibrary.org/obo/GO_0016668>		
<http://purl.obolibrary.org/obo/ZP_0018631>	"Abnormal(ly) morphology (of) retinal outer plexiform layer of synapse."	
<http://purl.obolibrary.org/obo/ZP_0007325>	"Abnormal(ly) broken (of) dopaminergic neuron of axon."	
<http://purl.obolibrary.org/obo/ZP_0010607>	"Congenital absence of the heart valve."	
<http://purl.obolibrary.org/obo/ZP_0017905>	"Abnormal(ly) occurrence (of) mRNA transcription."	
<http://purl.obolibrary.org/obo/ZP_0017797>	"An abnormality of the fibroblast growth factor receptor signaling pathway in otic vesicle."	
<http://purl.obolibrary.org/obo/ZP_0019071>	"Abnormal(ly) decreased amount (of) endocrine pancreas."	
<http://purl.obolibrary.org/obo/ZP_0104194>	"The presence of an increased number of superior raphe nucleus."	
<http://purl.obolibrary.org/obo/CHEBI_50903>	"A role played by a chemical compound which is known to  induce a process of carcinogenesis  by corrupting  normal cellular pathways, leading to the acquistion of tumoral capabilities."	
<http://purl.obolibrary.org/obo/ZP_0015569>	"Abnormal(ly) occurrence (of) response to chemical."	
<http://purl.obolibrary.org/obo/ZP_0105645>	"Abnormal(ly) flattened (of) pronephric podocyte of podocyte foot."	
<http://purl.obolibrary.org/obo/ZP_0130816>	"Abnormal(ly) has fewer parts of type (of) trunk of dorsal surface (melanocyte)."	
<http://purl.obolibrary.org/obo/ZP_0148380>	"Abnormal(ly) normal amount (of) sperm of phosphatidylcholine 40:5."	
<http://purl.obolibrary.org/obo/ZP_0108533>	"Abnormal(ly) quality (of) cerebellar white matter."	
<http://purl.obolibrary.org/obo/GO_0043169>		
<http://purl.obolibrary.org/obo/ZP_0138008>	"Abnormal(ly) decreased adhesivity (of) posterior lateral plate mesoderm of cell."	
<http://purl.obolibrary.org/obo/ZP_0155467>	"Abnormal(ly) increased occurrence (of) cell cycle G2/M phase transition."	
<http://purl.obolibrary.org/obo/ZP_0015270>	"Abnormal(ly) disorganized (of) median fin fold of mesenchymal cell."	
<http://purl.obolibrary.org/obo/ZP_0138206>	"Abnormal(ly) absent (of) cerebellar crest."	
<http://purl.obolibrary.org/obo/ZP_0101028>	"Abnormal(ly) increased amount (of) region of the nucleus of the medial longitudinal fascicle of neuron."	
<http://purl.obolibrary.org/obo/PATO_0002280>		
<http://purl.obolibrary.org/obo/ZP_0144435>	"Abnormal(ly) decreased mobility (of) central canal of cilium."	
<http://purl.obolibrary.org/obo/ZP_0019066>	"Abnormal(ly) bent (of) skeletal muscle cell of T-tubule."	
<http://purl.obolibrary.org/obo/ZFA_0000664>		
<http://purl.obolibrary.org/obo/GO_0000961>		
<http://purl.obolibrary.org/obo/ZP_0012776>	"Abnormal(ly) occurrence (of) spinal cord motor neuron cell fate specification."	
<http://purl.obolibrary.org/obo/ZP_0001774>	"Abnormal(ly) cellular quality (of) retina."	
<http://purl.obolibrary.org/obo/ZP_0152334>	"Abnormal(ly) eroding (of) centrum."	
<http://purl.obolibrary.org/obo/ZP_0153864>	"Abnormal(ly) decreased process quality (of) liver of tumor necrosis factor-mediated signaling pathway."	
<http://purl.obolibrary.org/obo/ZP_0146186>	"Increased width of vertebral body end plate."	
<http://purl.obolibrary.org/obo/ZP_0101123>	"Abnormal(ly) increased amount (of) ventral wall of dorsal aorta of extracellular matrix."	
<http://purl.obolibrary.org/obo/ZP_0142275>	"Absence of medial forebrain bundle."	
<http://purl.obolibrary.org/obo/CHEBI_140362>		
<http://purl.obolibrary.org/obo/ZP_0138313>	"Abnormal(ly) position (of) anterior lateral line neuromast."	
<http://purl.obolibrary.org/obo/ZP_0004926>	"Abnormal(ly) disrupted (of) granulocyte differentiation."	
<http://purl.obolibrary.org/obo/ZP_0013882>	"Decreased length or shortening of the interrenal  angiogenic sprout."	
<http://purl.obolibrary.org/obo/ZP_0154249>	"Abnormal(ly) decreased amount (of) male organism of slow muscle cell."	
<http://purl.obolibrary.org/obo/ZP_0140083>	"Abnormal(ly) increased thickness (of) optic fiber layer."	
<http://purl.obolibrary.org/obo/ZP_0014807>	"Decreased qualitatively sensory perception of mechanical stimulus."	
<http://purl.obolibrary.org/obo/ZP_0008084>	"Abnormal(ly) deformed (of) midbrain."	
<http://purl.obolibrary.org/obo/ZP_0109646>	"Abnormal(ly) quality (of) sclerotome somite 13."	
<http://purl.obolibrary.org/obo/ZP_0139745>	"Absence of the adaxial cell in the somite."	
<http://purl.obolibrary.org/obo/ZP_0011545>	"Any structural anomaly in the shape of the cell located in posterior lateral mesoderm."	
<http://purl.obolibrary.org/obo/PATO_0002281>		
<http://purl.obolibrary.org/obo/ZP_0109840>	"Abnormality of dorsal oblique branchial muscle."	
<http://purl.obolibrary.org/obo/GO_0000962>		
<http://purl.obolibrary.org/obo/ZFA_0000663>		
<http://purl.obolibrary.org/obo/ZP_0103089>	"Decreased qualitatively bone mineralization in cleithrum."	
<http://purl.obolibrary.org/obo/ZP_0018264>	"Decreased qualitatively Wnt signaling pathway in basilar artery."	
<http://purl.obolibrary.org/obo/ZP_0102668>	"Any structural anomaly that causes there to be an abnormal number hair cell posterior macula."	
<http://purl.obolibrary.org/obo/GO_0043167>		
<http://purl.obolibrary.org/obo/ZP_0018278>	"Abnormal(ly) has normal numbers of parts of type (of) spinal cord (ependymal cell of cilium)."	
<http://purl.obolibrary.org/obo/GO_1904427>		
<http://purl.obolibrary.org/obo/ZP_0011277>	"Abnormal(ly) detached from (of) cell (neural tube)."	
<http://purl.obolibrary.org/obo/ZP_0100537>	"Abnormal(ly) decreased occurrence (of) facial nerve motor nucleus of motor neuron migration."	
<http://purl.obolibrary.org/obo/ZP_0143158>	"Abnormal(ly) branchiness (of) posterior cerebral vein."	
<http://purl.obolibrary.org/obo/ZP_0155707>	"Abnormal(ly) decreased occurrence (of) skeletal muscle of citrate synthase activity."	
<http://purl.obolibrary.org/obo/ZP_0009208>	"Abnormal(ly) decreased size (of) parachordal vessel."	
<http://purl.obolibrary.org/obo/ZFA_0000662>		
<http://purl.obolibrary.org/obo/ZP_0008628>	"An abnormally apoptotic neuroectoderm."	
<http://purl.obolibrary.org/obo/ZP_0145858>	"Abnormal(ly) increased magnitude (of) Mauthner neuron of chemical synaptic transmission."	
<http://purl.obolibrary.org/obo/ZP_0142138>	"Abnormal(ly) decreased occurrence (of) fast muscle cell of cell-cell fusion."	
<http://purl.obolibrary.org/obo/ZP_0142898>	"Abnormal(ly) normal process quality (of) whole organism of swimming behavior."	
<http://purl.obolibrary.org/obo/ZP_0109704>	"Abnormal(ly) quality (of) rib of vertebra 6."	
<http://purl.obolibrary.org/obo/ZP_0146494>	"Abnormal(ly) decreased amount (of) epicardium of cell."	
<http://purl.obolibrary.org/obo/ZP_0148505>	"Abnormal(ly) increased amount (of) kidney of common myeloid progenitor."	
<http://purl.obolibrary.org/obo/ZP_0000954>	"Abnormal(ly) disrupted (of) determination of pancreatic left/right asymmetry."	
<http://purl.obolibrary.org/obo/ZP_0145328>	"Abnormal(ly) distance (of) Meckel's cartilage (palatoquadrate arch)."	
<http://purl.obolibrary.org/obo/ZP_0010683>	"Small, underdeveloped retina."	
<http://purl.obolibrary.org/obo/CHEBI_64637>	"A repetitive glycan polysaccharide contained within a lipopolysaccharide (LPS). The <em>O</em>-antigen is attached to the core oligosaccharide, and comprises the outermost domain of the LPS molecule."	
<http://purl.obolibrary.org/obo/ZP_0150966>	"Abnormal(ly) normal occurrence (of) brain of adenosine deaminase activity."	
<http://purl.obolibrary.org/obo/ZP_0153757>	"Abnormal(ly) spatial pattern (of) cranial ganglion."	
<http://purl.obolibrary.org/obo/ZP_0141740>	"Abnormal(ly) increased distribution (of) margin of anterior region."	
<http://purl.obolibrary.org/obo/ZP_0017807>	"Any unspecified morphological anomaly of the gill filament, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/GO_0043168>		
<http://purl.obolibrary.org/obo/CHEBI_32505>	"An α-amino-acid cation that is the conjugate acid of phenylalanine, arising from protonation of the amino group."	
<http://purl.obolibrary.org/obo/ZP_0013959>	"Abnormal(ly) mislocalised (of) vertical myoseptum of fibroblast."	
<http://purl.obolibrary.org/obo/ZP_0019373>	"The presence of an increased number of endothelial cell in the dorsal longitudinal anastomotic vessel."	
<http://purl.obolibrary.org/obo/ZP_0106077>	"Abnormal(ly) decreased occurrence (of) muscle of mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity."	
<http://purl.obolibrary.org/obo/ZP_0153528>	"Abnormal(ly) spatial pattern (of) segmental plate of anterior region."	
<http://purl.obolibrary.org/obo/ZP_0141400>	"Abnormal(ly) increased occurrence (of) central nervous system of cell population proliferation."	
<http://purl.obolibrary.org/obo/ZFA_0000661>		
<http://purl.obolibrary.org/obo/ZP_0151183>	"Abnormal(ly) increased occurrence (of) brain of regulation of circadian rhythm."	
<http://purl.obolibrary.org/obo/ZP_0109991>	"Abnormal(ly) quality (of) MiD3i."	
<http://purl.obolibrary.org/obo/ZP_0020837>	"Disorganization of ceratobranchial cartilage."	
<http://purl.obolibrary.org/obo/ZP_0002080>	"Abnormal(ly) wholly anteriorized (of) neural plate."	
<http://purl.obolibrary.org/obo/ZP_0021573>	"Abnormal(ly) irregular spatial pattern (of) yolk of microtubule."	
<http://purl.obolibrary.org/obo/GO_0000960>		
<http://purl.obolibrary.org/obo/ZP_0107038>	"Abnormal T cell activation involved in immune response."	
<http://purl.obolibrary.org/obo/ZP_0142101>	"Abnormal(ly) spatial pattern (of) ventral wall of dorsal aorta of perinuclear region of cytoplasm."	
<http://purl.obolibrary.org/obo/ZP_0016138>	"Abnormal(ly) arrested (of) cell communication by electrical coupling."	
<http://purl.obolibrary.org/obo/ZP_0103271>	"Abnormal(ly) occurrence (of) exocrine pancreas of canonical Wnt signaling pathway."	
<http://purl.obolibrary.org/obo/ZP_0151505>	"Abnormal(ly) increased distribution (of) yolk of lipid."	
<http://purl.obolibrary.org/obo/GO_0000965>		
<http://purl.obolibrary.org/obo/ZP_0141007>	"Abnormal(ly) broken (of) neutrophil."	
<http://purl.obolibrary.org/obo/ZP_0008633>	"Abnormal(ly) obtuse (of) Meckel's cartilage of chondrocyte."	
<http://purl.obolibrary.org/obo/ZP_0103991>	"Abnormal(ly) decreased occurrence (of) primordial germ cell of cell migration."	
<http://purl.obolibrary.org/obo/ZP_0109809>	"Abnormal(ly) quality (of) nitrergic neuron."	
<http://purl.obolibrary.org/obo/ZP_0156373>	"Abnormal(ly) decreased permeability (of) hyaloid vessel."	
<http://purl.obolibrary.org/obo/ZP_0146903>	"Abnormal(ly) fragmented (of) cardiac muscle cell of mitochondrion."	
<http://purl.obolibrary.org/obo/ZP_0138040>	"The presence of a reduced number of trabecular layer of ventricle."	
<http://purl.obolibrary.org/obo/ZP_0016773>	"Absence of cranial vasculature."	
<http://purl.obolibrary.org/obo/ZP_0012744>	"Abnormal(ly) decreased amount (of) cranial neural crest of filopodium."	
<http://purl.obolibrary.org/obo/GO_0033334>		
<http://purl.obolibrary.org/obo/ZP_0014542>	"longer, increased length of, cardiac ventricle"	
<http://purl.obolibrary.org/obo/ZP_0145804>	"An increased occurrence of apoptotic process in olfactory bulb."	
<http://purl.obolibrary.org/obo/ZP_0145806>	"An increase in the level of high-density lipoprotein cholesterol in whole organism."	
<http://purl.obolibrary.org/obo/ZP_0146988>	"Abnormal(ly) disrupted (of) hematopoietic stem cell of positive regulation of cell migration."	
<http://purl.obolibrary.org/obo/ZP_0018030>	"Abnormal(ly) increased amount (of) muscle cell of vacuole."	
<http://purl.obolibrary.org/obo/ZP_0008128>	"Abnormal(ly) disrupted (of) synapse assembly."	
<http://purl.obolibrary.org/obo/ZP_0155325>	"Abnormal(ly) increased amount (of) male organism of http://purl.obolibrary.org/obo/CHEBI_68467."	
<http://purl.obolibrary.org/obo/CHEBI_24315>	"An amino acid derivative resulting from reaction of glutamic acid at the amino group or either of the carboxy groups, or from the replacement of any hydrogen by a heteroatom. The definition normally excludes peptides containing glutamic acid residues."	
<http://purl.obolibrary.org/obo/ZP_0147663>	"Delayed ossification in frontal bone."	
<http://purl.obolibrary.org/obo/ZP_0107545>	"Abnormal(ly) quality (of) adenohypophysis."	
<http://purl.obolibrary.org/obo/ZP_0103629>	"Abnormal(ly) process quality (of) optic tectum of lysosome localization."	
<http://purl.obolibrary.org/obo/ZP_0149986>	"Abnormal(ly) decreased process quality (of) gut of establishment of endothelial intestinal barrier."	
<http://purl.obolibrary.org/obo/ZP_0004171>	"Abnormal(ly) disrupted (of) glucose homeostasis."	
<http://purl.obolibrary.org/obo/ZP_0006933>	"Abnormal(ly) increased diameter (of) aortic arch."	
<http://purl.obolibrary.org/obo/ZP_0101068>	"Abnormal(ly) increased occurrence (of) hematopoietic stem cell proliferation."	
<http://purl.obolibrary.org/obo/ZP_0154261>	"Abnormal(ly) spatial pattern (of) hypoblast."	
<http://purl.obolibrary.org/obo/ZP_0143333>	"Abnormal(ly) process quality (of) CaP motoneuron of neuromuscular junction development."	
<http://purl.obolibrary.org/obo/GO_0033335>		
<http://purl.obolibrary.org/obo/ZP_0012001>	"Abnormal(ly) calcified (of) neural tube."	
<http://purl.obolibrary.org/obo/ZP_0147667>	"Abnormal(ly) asymmetrical (of) atrioventricular valve."	
<http://purl.obolibrary.org/obo/ZP_0144091>	"decreased heart contraction in heart."	
<http://purl.obolibrary.org/obo/ZP_0021919>	"A decrease in the level of calcium(2+) in whole organism."	
<http://purl.obolibrary.org/obo/ZP_0104093>	"The presence of a reduced number of vagal ganglion 1."	
<http://purl.obolibrary.org/obo/ZP_0127950>		
<http://purl.obolibrary.org/obo/ZP_0020287>	"Abnormal(ly) absent (of) hematopoietic system."	
<http://purl.obolibrary.org/obo/ZP_0104170>	"Abnormal(ly) disrupted (of) ceratobranchial 5 tooth of tooth mineralization."	
<http://purl.obolibrary.org/obo/ZP_0008577>	"Absence of horizontal cell."	
<http://purl.obolibrary.org/obo/ZP_0101346>	"A decreased occurrence of endothelial cell proliferation in regenerating fin."	
<http://purl.obolibrary.org/obo/ZP_0006849>	"Abnormal(ly) disrupted (of) blood vessel endothelial cell delamination involved in blood vessel lumen ensheathment."	
<http://purl.obolibrary.org/obo/ZP_0143198>	"Abnormal(ly) disorganized (of) extraocular musculature of myosin filament."	
<http://purl.obolibrary.org/obo/ZP_0001949>	"Any unspecified morphological anomaly of the olfactory pit, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/ZP_0142313>	"An increase in the level of phosphatidylethanolamine 36:2 zwitterion in brain."	
<http://purl.obolibrary.org/obo/ZP_0018581>	"A decreased occurrence of blood circulation in trunk vasculature."	
<http://purl.obolibrary.org/obo/ZP_0148708>	"Abnormal(ly) normal process quality (of) post-embryonic eye morphogenesis."	
<http://purl.obolibrary.org/obo/CHEBI_85688>	"A diglyceride in which the two acyl groups contain a total of 32 carbons and 0 double bond."	
<http://purl.obolibrary.org/obo/ZP_0008580>	"Abnormal(ly) circular (of) deep blastomere."	
<http://purl.obolibrary.org/obo/CHEBI_48928>	"A gluconic acid phosphate having the phosphate group at the 6-position. It is an intermediate in the pentose phosphate pathway."	
<http://purl.obolibrary.org/obo/ZP_0140316>	"Abnormal(ly) delayed (of) embryo development ending in birth or egg hatching."	
<http://purl.obolibrary.org/obo/ZP_0131088>	"Abnormal(ly) protruding out of (of) atrioventricular canal endocardium of cell (endocardium)."	
<http://purl.obolibrary.org/obo/ZP_0102952>	"An abnormally localised lens epithelium."	
<http://purl.obolibrary.org/obo/ZP_0102846>	"Abnormal(ly) radius (of) nucleate erythrocyte."	
<http://purl.obolibrary.org/obo/ZP_0108647>	"Abnormality of anterior mesenteric artery."	
<http://purl.obolibrary.org/obo/ZP_0000346>	"Abnormal(ly) increased amount (of) epiphysis of neuron."	
<http://purl.obolibrary.org/obo/GO_0033336>		
<http://purl.obolibrary.org/obo/ZP_0140230>	"Abnormal(ly) occurrence (of) biological process involved in interaction with host."	
<http://purl.obolibrary.org/obo/ZP_0022982>	"An increase in the level of Collagen in regenerating tissue."	
<http://purl.obolibrary.org/obo/ZP_0156359>	"Abnormal(ly) process quality (of) blastoderm of regulation of non-canonical NF-kappaB signal transduction."	
<http://purl.obolibrary.org/obo/ZP_0141658>	"Abnormal(ly) vacuolated (of) myocardium."	
<http://purl.obolibrary.org/obo/ZP_0148927>	"Abnormal(ly) occurrence (of) lysosome localization."	
<http://purl.obolibrary.org/obo/ZP_0107431>	"Abnormality of axial hypoblast."	
<http://purl.obolibrary.org/obo/ZP_0109210>	"Abnormal(ly) quality (of) sensory canal tubular ossicle."	
<http://purl.obolibrary.org/obo/ZP_0008551>	"Abnormal(ly) branched (of) ocular blood vessel."	
<http://purl.obolibrary.org/obo/ZP_0131256>	"Delayed seminiferous tubule development."	
<http://purl.obolibrary.org/obo/GO_0000963>		
<http://purl.obolibrary.org/obo/ZP_0153927>	"Abnormal(ly) spatial pattern (of) myocardial precursor."	
<http://purl.obolibrary.org/obo/ZP_0130741>	"Abnormal(ly) decreased amount (of) cloaca of cilium."	
<http://purl.obolibrary.org/obo/ZP_0149100>	"Abnormal(ly) increased occurrence (of) vasculature of viral process."	
<http://purl.obolibrary.org/obo/ZP_0104146>	"A decreased occurrence of cardioblast migration to the midline involved in heart field formation."	
<http://purl.obolibrary.org/obo/ZP_0018806>	"The presence of a reduced number of cell in the secondary islet."	
<http://purl.obolibrary.org/obo/ZP_0100745>	"Abnormal spatial pattern of optic tectum."	
<http://purl.obolibrary.org/obo/ZP_0103773>	"Abnormal(ly) apoptotic (of) hindbrain of cell."	
<http://purl.obolibrary.org/obo/ZP_0149689>	"A morphological abnormality of the vertebral column in the male organism."	
<http://purl.obolibrary.org/obo/ZP_0021860>	"Abnormal(ly) increased occurrence (of) ciliated olfactory receptor neuron of ERK1 and ERK2 cascade."	
<http://purl.obolibrary.org/obo/ZP_0103616>	"The presence of a reduced number of glioblast."	
<http://purl.obolibrary.org/obo/ZP_0141513>	"Abnormal(ly) necrotic (of) male organism of liver."	
<http://purl.obolibrary.org/obo/ZP_0011519>	"Any abnormal fusion of the pharyngeal arch 1 and the pharyngeal arch 2."	
<http://purl.obolibrary.org/obo/ZP_0156231>	"Abnormal(ly) shortened (of) vertebra."	
<http://purl.obolibrary.org/obo/GO_0033337>		
<http://purl.obolibrary.org/obo/ZP_0011432>	"Any structural anomaly that causes pancreatic bud to be split medially shaped."	
<http://purl.obolibrary.org/obo/ZP_0141653>	"Abnormal(ly) decreased amount (of) heart of muscle cell."	
<http://purl.obolibrary.org/obo/ZP_0005578>	"Abnormal(ly) structure (of) intersegmental artery."	
<http://purl.obolibrary.org/obo/ZP_0004710>	"Abnormal(ly) refractivity (of) skeletal muscle."	
<http://purl.obolibrary.org/obo/ZP_0016135>	"Abnormal(ly) decreased contractility (of) trunk musculature."	
<http://purl.obolibrary.org/obo/ZP_0105744>	"Any structural anomaly that causes there to be an abnormal number neuromast hair cell in posterior lateral line neuromast."	
<http://purl.obolibrary.org/obo/ZP_0009397>	"Abnormal(ly) disrupted (of) striated muscle contraction."	
<http://purl.obolibrary.org/obo/ZP_0106332>	"Abnormal(ly) disrupted (of) mitochondrion organization."	
<http://purl.obolibrary.org/obo/ZP_0108973>	"Abnormality of anal fin lepidotrichium 4."	
<http://purl.obolibrary.org/obo/ZP_0016731>	"Abnormal(ly) increased thickness (of) ventricular epicardium."	
<http://purl.obolibrary.org/obo/CHEBI_39141>	"A molecular entity capable of donating a hydron to an acceptor (Brønsted base)."	
<http://purl.obolibrary.org/obo/ZP_0006189>	"An abnormally early start time of neuron differentiation."	
<http://purl.obolibrary.org/obo/ZP_0000157>	"Abnormal(ly) fused with (of) rhombomere 5 of left side (rhombomere 5 of right side)."	
<http://purl.obolibrary.org/obo/ZP_0151389>	"Abnormal(ly) decreased process quality (of) regulation of glycogen metabolic process."	
<http://purl.obolibrary.org/obo/ZP_0137393>	"Abnormal(ly) decreased amount (of) opercular flap."	
<http://purl.obolibrary.org/obo/CHEBI_142355>	"A purine ribonucleoside that is a purine derivative attached to a β-<small>D</small>-ribofuranosyl residue at position 9 via a glycosidic (<em>N</em>-glycosyl) linkage."	
<http://purl.obolibrary.org/obo/ZP_0002941>	"Abnormal camera-type eye morphogenesis."	
<http://purl.obolibrary.org/obo/ZP_0104764>	"Abnormal(ly) morphology (of) somite 6 of somite border."	
<http://purl.obolibrary.org/obo/ZP_0102364>	"An increased occurrence of cardiac muscle cell proliferation in atrial myocardium."	
<http://purl.obolibrary.org/obo/ZP_0100908>	"Abnormal(ly) increased process quality (of) cranium of bone mineralization."	
<http://purl.obolibrary.org/obo/GO_0043161>		
<http://purl.obolibrary.org/obo/ZP_0020173>	"Abnormal(ly) absent (of) myotome of Z disc."	
<http://purl.obolibrary.org/obo/GO_0033338>		
<http://purl.obolibrary.org/obo/ZP_0001669>	"Abnormal(ly) quality (of) behavior."	
<http://purl.obolibrary.org/obo/ZP_0107631>	"Abnormality of barbel."	
<http://purl.obolibrary.org/obo/ZP_0022805>		
<http://purl.obolibrary.org/obo/ZP_0020613>	"Any structural anomaly that causes whole organism to be bulbous shaped."	
<http://purl.obolibrary.org/obo/ZP_0101561>		
<http://purl.obolibrary.org/obo/ZP_0127953>		
